variant,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_f1_excl_other
full_text,0.9293333333333333,0.10756545532135513,0.7314285714285715,1.0,0.98
generic_salutation,0.9198857142857143,0.10946703053529153,0.6933333333333332,1.0,0.969857142857143
no_title,0.8667904761904761,0.11799220441867003,0.7314285714285715,1.0,0.9668214285714285
greeting_and_core,0.8629809523809523,0.11383616678273459,0.7314285714285715,1.0,0.9687261904761906
core_only,0.6739142857142856,0.1184081675643944,0.4833333333333333,1.0,0.8307261904761905
subject_only,0.6696285714285714,0.09550454903118227,0.45999999999999996,0.7714285714285715,0.8370357142857142
