variant,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_f1_excl_other,macro_f1_excl_other_std
no_title,0.8608,0.1287939419951692,0.5599999999999999,1.0,0.9270000000000002,0.09108486628886837
full_text,0.8378095238095237,0.13854726461525965,0.5599999999999999,1.0,0.8967619047619049,0.10787918884308156
greeting_and_core,0.7903142857142857,0.13834191332748325,0.4666666666666666,1.0,0.8803928571428571,0.1128501263077804
subject_only,0.7504380952380951,0.12260261865464556,0.5047619047619047,1.0,0.806190476190476,0.13203063463322123
generic_salutation,0.6888190476190477,0.1444341604714501,0.3904761904761904,1.0,0.7569761904761905,0.14292232275605912
core_only,0.6307714285714286,0.16107271739137893,0.31714285714285717,0.9199999999999999,0.6974523809523808,0.17061578624985052
