threshold,other_f1_mean,other_f1_std,macro_f1_mean,macro_f1_std
0.3,0.2866666666666666,0.4312613993366704,0.8263523809523808,0.10231507858856982
0.35,0.602,0.38002327175428335,0.8378095238095237,0.13854726461525965
0.4,0.44998412698412693,0.13420401638395504,0.6286634920634921,0.1380397927558523
0.45,0.33188888888888884,0.09378585710034054,0.42917777777777777,0.13025665996821956
0.5,0.27081240981240984,0.06889516938719017,0.2254958152958153,0.0849141037204599
0.55,0.25816450216450215,0.07345772239381224,0.16096623376623376,0.10440336630805587
0.6,0.24335353535353532,0.06827313643147541,0.08733737373737373,0.08052665838177929
0.65,0.23717171717171717,0.06446325306201847,0.047434343434343426,0.012892650612403696
0.7,0.23717171717171717,0.06446325306201847,0.047434343434343426,0.012892650612403696
0.75,0.23717171717171717,0.06446325306201847,0.047434343434343426,0.012892650612403696
